idQuestion,libelle,reponse,erreur1,erreur2,erreur3,url,type
376,"* *  est une commune française, capitale historique, administrative et universitaire du département du Pas-de-Calais au cœur de la zone économique agroalimentaire la plus étendue au nord de Paris.
Chef-lieu du Pas-de-Calais, * * est, avec ses 42 000 habitants, la troisième ville la plus peuplée du département après Calais et Boulogne-sur-Mer. Avec Lille et les villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants, appelé « aire métropolitaine de Lille ».
* * est le siège de la communauté urbaine d'* * et le second pôle administratif de la région Nord-Pas-de-Calais. Historiquement, * * était sous l’Ancien Régime la capitale de la province d’Artois, un grand centre religieux et une cité prospère connue pour ses fabrications drapières. Ville universitaire, * * se caractérise aujourd'hui par sa grande jeunesse; en effet, 33 % des habitants de l’agglo",Arras,"Saint-Pol sur Ternoise","Etaples le Touquet",Caudry,NULL,wikiextract
380,"* * est une commune française, située dans la région Nord-Pas-de-Calais et le département du Nord .
Limitrophe du département de l'Aisne, * * est située à l'extrémité sud-est de l'arrondissement de Cambrai auquel elle est rattachée. Longtemps possession du chapitre de l'église Saint-Géry de Cambrai, le village partageait son activité entre l'agriculture et le tissage, comme beaucoup d'autres dans cette région. Avec la construction, dans la deuxième moité du XIXe siècle, de la ligne de chemin de fer Saint-Quentin - Hautmont, section de la ligne Paris - Bruxelles, puis d'embranchements vers Cambrai et Hirson, la commune devint un nœud ferroviaire important du nord de la France. La ligne Paris - Bruxelles a perdu de son importance depuis l'ouverture de la LGV Nord, et l'industrie textile a disparu dans la deuxième moité du XXe siècle. * *",Busigny,Jeumont,Roubaix,Valenciennes,NULL,wikiextract
381,"* *  est une commune française, située dans le département du Nord et dans la région Nord-Pas-de-Calais. Sous-préfecture du département, * * est une ville moyenne qui compte 32 518 habitants au recensement de 2009 ; elle est au cœur de l'unité urbaine de * * qui, avec 47 138 habitants, la place au 7e rang départemental. Son aire urbaine, plus étendue, rassemble 65 986 habitants en 2009. Avec Lille et les villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants, appelé « aire métropolitaine de Lille ».
Vers la fin de l'Empire romain, * * remplace Bavay comme « capitale » de la cité des Nerviens. Au début de l'époque mérovingienne, * * devient le siège d'un vaste évêché s'étendant sur toute la rive droite de l'Escaut et le centre d'une petite principauté ecclésiastique dépendant du Saint-Empire romain germanique jusqu'à",Cambrai,"Croix - Wasquehal","Don Sainghin",Arras,NULL,wikiextract
382,"* * est une commune française d'environ 14 000 habitants située dans le sud du département du Nord et de la région Nord-Pas-de-Calais. Ses habitants sont appelés les Caudrésiens.
* * est longtemps resté un village que rien ne distinguait de ses voisins et qui n'occupe pas une position stratégique. Son activité, comme celle des autres villages du Cambrésis, se partageait entre l'agriculture et le tissage. Au début du XIXe siècle, des tisserands se lancent dans la fabrication de tulle à l'aide de métiers importés en fraude d'Angleterre. Après des débuts difficiles, l'industrie textile métamorphose * * en quelques décennies de village en petite ville industrielle : fabrication du tulle, de la dentelle mécanique « Leavers », dont la qualité est couronnée à l'exposition internationale de Bruxelles de 1910, à quoi s'ajoute la broderie mécanique.
Bien que les effectifs de l'industrie textile aient beaucoup diminué au XXe siècle à * * comme dans le Ca",Caudry,Boulogne,"Etaples le Touquet",Valenciennes,NULL,wikiextract
383,"REDIRECTION * * ","Croix - Wasquehal",Dunkerque,"Le Cateau",Maubeuge,NULL,wikiextract
384,"* * est une commune française, sous-préfecture du département du Pas-de-* *, dans la région du Nord-Pas-de-* *. Ses habitants sont appelés les * *iens.
La ville de * * est la première ville du département par sa population et sa superficie, bien qu'elle n'en soit pas le chef-lieu . Elle est également la première ville française de liaison avec l'Angleterre grâce à son port, premier port français de passagers et au tunnel sous la Manche.",Calais,"Croix - Wasquehal","Lille Europe",Maubeuge,NULL,wikiextract
385,"* *  est une commune française, sous-préfecture du département du Nord. Avec 92 005 habitants, la ville est la troisième plus peuplée de la région Nord-Pas-de-Calais, la première hors de la métropole lilloise. Ses habitants sont appelés les Dunkerquois et les Dunkerquoises. La « cité de Jean Bart » est au centre de la communauté urbaine de * * Grand Littoral qui regroupe 17 communes et compte 200 000 habitants. Elle est également au cœur de la 34e aire urbaine de France avec plus de 265 000 habitants répartis dans 56 communes dont 4 du Pas-de-Calais. Via des accords avec d'autres villes de la Côte d'Opale et celles de la Flandre Occidentale belge, l'agglomération dunkerquoise est vouée, à terme, à appartenir à une métropole s'étalant de Boulogne-sur-Mer à Ostende.
L'histoire de * * est liée à la mer du Nord. Fondée il y a plus d'un millénaire, la ville était, à l'or",Dunkerque,"Lille Europe","Etaples le Touquet",Boulogne,NULL,wikiextract
386,"* * est une commune française du département du Nord et de la région Nord-Pas-de-Calais, située dans le sud de la Flandre romane. La Compagnie des mines de l'Escarpelle y a exploité la houille dans ses fosses nos 4 - 4 bis et 5 à partir des années 1870, la Compagnie des mines d'Aniche a ouvert la fosse Bernard dans les années 1910. L'exploitation charbonnière cesse en 1970 avec la fermeture de la fosse no 5.
* * est au centre de l'aire urbaine de * *-Lens, la quinzième aire urbaine de France, comprenant 801 communes, avec 542 918 habitants en 2010. Avec Lille et les villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants, appelé « aire métropolitaine de Lille ».
Les habitants de * * sont les * *siens. La région s'appelle le * *sis.
Le nom jeté des habitants est les « ventres d'osier »  en raison de la matière dont sont faits les géants locaux (",Douai,"Le Cateau",Tourcoing,B,NULL,wikiextract
387,"* * peut désigner :","Don Sainghin",Maubeuge,Busigny,Roubaix,NULL,wikiextract
388,"redirect Étaples","Etaples le Touquet","Don Sainghin","Aulnoyes Aymeries",Busigny,NULL,wikiextract
389,"* * est une commune française, sous-préfecture du département du Pas-de-* *, dans la région du Nord-Pas-de-* *. Ses habitants sont appelés les * *iens.
La ville de * * est la première ville du département par sa population et sa superficie, bien qu'elle n'en soit pas le chef-lieu . Elle est également la première ville française de liaison avec l'Angleterre grâce à son port, premier port français de passagers et au tunnel sous la Manche.","Calais Frethun",Tourcoing,"Croix - Wasquehal","Lille Flandres",NULL,wikiextract
390,,Hazebrouk,Roubaix,Saint-Omer,Jeumont,NULL,wikiextract
391,"* * est une commune frontalière française, située dans le canton de Maubeuge-Nord, à 10 km ENE du chef-lieu de canton. Elle appartient au département du Nord .
Adhérente à l'intercommunalité de l'Agglomération Maubeuge Val de Sambre, la commune de * * fait également partie de l'unité urbaine de Maubeuge qui est la cinquième du département du Nord.
L'étymologie de * * viendrait de Jovis Mons, le ""Mont de Jupiter"" en latin. Ce nom viendrait d'un temple romain dédié à Jupiter, érigé sur l'actuel ""camp turc"", le nom a évolué ensuite en Montjoie, Jolimont puis enfin * *.",Jeumont,Saint-Omer,"Saint-Pol sur Ternoise",Cambrai,NULL,wikiextract
392,"le, un déterminant
* *  en chiffre romain
Lè peut faire référence à différents idéogrammes chinois écrits en hanyu pinyin :
Lè ,
Lè .
Lê peut faire référence à différentes dynasties :
Dynastie Lê antérieure,
Dynastie Lê postérieure.","Le Cateau",Arras,Cambrai,"Croix - Wasquehal",NULL,wikiextract
393,"* * est une commune du nord de la France, préfecture du département du Nord et chef-lieu en région Nord-Pas-de-Calais. Surnommée la « Capitale des Flandres », * * est, avec ses 227 560 habitants au dernier recensement de 2010, la principale ville, aux côtés de Roubaix, Tourcoing et Villeneuve-d'Ascq, de * * Métropole Communauté urbaine, intercommunalité qui regroupe 85 communes et compte environ 1,2 million d'habitants. Dans sa partie française, l'unité urbaine de * * est au quatrième rang en France par sa population, avec 1 015 744 habitants au 1er janvier 2010, derrière Paris, Marseille et Lyon, et son aire urbaine est la cinquième de France avec 1 158 306 habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin qui a donné naissance en janvier 2008 au premier Groupement européen de coopération territoriale, l'Eurométropole * * Kortrijk Tournai, qui totalise plus de 2 100","Lille Europe",Caudry,Tourcoing,"Rang du Fliers - Verton - Berck",NULL,wikiextract
394,"* * est une commune du nord de la France, préfecture du département du Nord et chef-lieu en région Nord-Pas-de-Calais. Surnommée la « Capitale des Flandres », * * est, avec ses 227 560 habitants au dernier recensement de 2010, la principale ville, aux côtés de Roubaix, Tourcoing et Villeneuve-d'Ascq, de * * Métropole Communauté urbaine, intercommunalité qui regroupe 85 communes et compte environ 1,2 million d'habitants. Dans sa partie française, l'unité urbaine de * * est au quatrième rang en France par sa population, avec 1 015 744 habitants au 1er janvier 2010, derrière Paris, Marseille et Lyon, et son aire urbaine est la cinquième de France avec 1 158 306 habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin qui a donné naissance en janvier 2008 au premier Groupement européen de coopération territoriale, l'Eurométropole * * Kortrijk Tournai, qui totalise plus de 2 100","Lille Flandres",Maubeuge,Tourcoing,Caudry,NULL,wikiextract
395,,Lens,Hazebrouk,Cambrai,"Etaples le Touquet",NULL,wikiextract
396,"* * est une commune française, située dans le département du Nord en région Nord-Pas-de-Calais.
Ses habitants sont appelés les * *ois.
Elle est la principale ville de l'unité urbaine de * * dans laquelle se trouve une partie de l'intercommunalité dénommée Agglomération * * Val de Sambre. Elle est également la principale commune de l'arrondissement d'Avesnes-sur-Helpe. Avec Lille et les villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants, appelé « aire métropolitaine de Lille ».",Maubeuge,Caudry,Arras,Busigny,NULL,wikiextract
397,"* * désigne généralement une suite d'éléments disposés en ligne dans le sens de la largeur, par opposition à file, dans le sens de la longueur.","Rang du Fliers - Verton - Berck",Lens,Busigny,Roubaix,NULL,wikiextract
398,"* * est une commune française située dans le département du Nord en région Nord-Pas-de-Calais. Elle est le chef-lieu de quatre cantons.
Avec une population d'un peu moins de cent mille habitants, * *, seconde ville du Nord - Pas de Calais, forme, aux côtés de Lille, Tourcoing, Villeneuve-d'Ascq et 81 autres communes la Communauté urbaine de Lille Métropole, intercommunalité qui compte environ 1,1 million d'habitants. Plus largement, elle appartient à une vaste conurbation formée avec les villes belges de Mouscron, Courtrai, Tournai et Menin, qui a donné naissance en janvier 2008 au premier groupement européen de coopération territoriale, l'Eurométropole Lille-Kortrijk-Tournai, qui totalise près de deux millions d’habitants.
Reconnue ville d'art et d'histoire, la ville demeure célèbre pour son patrimoine architectural et pour l'essor économique qu'elle a connu durant la Révolution industrielle au XIXe siècle, grâce à l’industrie textile, dont elle fut",Roubaix,Valenciennes,"Croix - Wasquehal","Calais Frethun",NULL,wikiextract
399,"REDIRECT Pol","Saint-Pol sur Ternoise","Lille Europe",Calais,Hazebrouk,NULL,wikiextract
400,"Audomar .",Saint-Omer,Lens,Maubeuge,"Rang du Fliers - Verton - Berck",NULL,wikiextract
401,"* * est une commune française située dans le département du Nord. Elle est le chef-lieu de trois cantons.
Avec une population d'un peu moins de cent mille habitants, limitrophe de la Belgique, * * forme une grande métropole avec ses deux partenaires, Lille et Roubaix, auxquelles on ajoute parfois Mouscron.
La ville demeure célèbre pour le prodigieux essor économique qu'elle a connu durant la Révolution industrielle au XIXe siècle, grâce au textile. Elle est surnommée « la cité du Broutteux ».",Tourcoing,Caudry,Arras,Dunkerque,NULL,wikiextract
402,"* * , fut aussi une ville industrielle et minière très prospère au XIXe siècle, la Compagnie des mines d'Anzin y a ouvert de nombreuses fosses. La plus connue est la fosse Dutemple dont le chevalement en béton armé existe encore.
Située au cœur d'une vaste conurbation qui s'étend jusqu'à la frontière avec la Belgique, * * forme la 4e unité urbaine de la région Nord-Pas-de-Calais et son aire urbaine est peuplée de 400 000 habitants. Avec Lille et les autres villes de l'ancien bassin minier du Nord-Pas-de-Calais, elle participe aussi à un ensemble métropolitain de près de 3,8 millions d'habitants",Valenciennes,Dunkerque,Cambrai,Maubeuge,NULL,wikiextract
